1,322,633,271,4581,356,5701
1,301,6819,275,8943,353,5355
1,279,3425,290,1201,338,2972
1,282,7506,74,25476,194,3845
1,302,2924,84,58026,184,9708
1,316,1616,88,69175,181,878
1,319,1358,88,69963,183,3245
1,304,8649,86,5554,186,2175
1,296,2234,98,29408,173,3289
1,293,3589,120,1514,147,0218
1,292,0487,123,4283,141,6603
1,289,7004,118,9784,147,2328
1,290,2684,113,7979,153,5207
1,290,3528,110,1599,157,5365
1,289,8542,107,1312,160,4724
1,288,6709,110,3691,158,2562
1,288,5204,105,6552,157,5513
1,286,7572,97,12505,164,9716
1,281,7639,91,15704,172,4782
1,273,9274,254,4582,8,416545
1,272,9393,321,3035,305,9027
1,272,2071,180,1815,89,85005
1,275,0055,195,8225,73,24823
1,277,5831,209,0235,60,56993
1,278,6021,217,1723,52,75942
1,278,3495,215,1515,55,16343
1,279,133,208,4944,61,99082
1,279,5675,209,8035,61,29574
1,279,6871,211,451,59,51126
1,279,7458,211,4931,59,44825
1,323,7184,255,7905,355,2023
1,321,9305,263,1589,350,194
1,327,7649,271,1466,340,9489
1,332,6297,266,9723,336,1795
1,334,1085,256,0439,336,1079
1,328,8258,268,3586,326,1134
1,327,5928,272,576,321,8142
1,326,3451,281,7507,323,6938
1,329,4166,283,7642,329,5488
1,327,5154,282,9311,332,9815
1,325,1883,292,9443,327,5578
1,316,1892,297,5639,321,1047
1,310,5999,289,3722,333,1159
1,309,5506,286,4274,340,5097
1,311,2061,286,0068,340,9888
1,314,9123,284,0198,343,0682
1,311,4071,283,3337,340,3383
1,311,5143,286,0057,338,5194
1,311,784,281,2931,343,6524
1,331,1003,31,49791,257,8665
1,332,9416,42,25669,250,2631
1,336,2122,48,3664,250,4047
1,333,7461,48,19689,250,5499
1,331,044,47,34476,250,9361
1,300,0211,21,53625,257,9113
1,272,6911,343,6789,286,9949
1,281,8235,252,4422,16,67039
1,309,168,268,5746,1,40511
1,326,6988,272,3592,359,919
1,332,0658,271,7174,358,9842
1,335,7596,269,3767,0,07929488
1,336,5515,269,011,358,4572
1,338,5219,246,9413,11,8844
1,339,7364,248,6977,12,76828
1,326,1754,258,9367,9,7673
1,299,4979,315,979,330,4551
1,294,7963,29,72496,249,6241
1,299,387,74,53063,197,9758
1,318,2757,89,46336,182,6606
1,324,153,89,4287,183,4302
1,326,8359,86,68536,186,0203
1,330,6931,79,00941,193,2447
1,330,6806,77,43716,194,1999
1,328,3501,78,94434,192,8534
1,321,8967,78,59504,193,3007
1,316,8033,78,45332,193,4382
1,290,9216,64,24806,204,2127
1,277,8353,4,407905,262,9644
1,279,7029,314,0466,313,3914
1,279,7383,308,5186,319,0505
1,296,0877,261,7738,9,258926
1,278,842,237,3736,33,08255
1,274,0306,207,5541,64,46415
1,277,6778,234,3959,36,07957
1,275,3946,221,3122,48,33733
1,271,7546,171,0387,103,3444
1,271,3125,108,0585,167,5981
1,271,117,63,53637,210,2419
1,271,1532,62,7703,213,4879
1,272,876,322,4515,312,0052
1,278,5099,274,3834,359,6335
1,280,2679,246,9937,25,60218
1,281,3625,249,5931,21,98376
1,282,1552,246,922,24,88321
1,283,3244,252,2378,18,16195
1,283,7466,251,9247,17,9544
